yourlist:M20200504A94466D2655679D1FD8953E075198DA89B94A1F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
TTC41P	Q6P2S7	TTC41_HUMAN	reviewed	Putative tetratricopeptide repeat protein 41 (TPR repeat protein 41) (Grp94-neighboring nucleotidase)	TTC41P GNN	Homo sapiens (Human)	1318
LOC100287944	L8ECQ4	L8ECQ4_HUMAN	unreviewed	Alternative protein LOC100287944	LOC100287944	Homo sapiens (Human)	45
MAPKAPK5-AS1	Q8N8E1	MAAS1_HUMAN	reviewed	Putative uncharacterized protein encoded by MAPKAPK5-AS1 (MAPKAPK5 antisense RNA 1) (MAPKAPK5 antisense gene protein 1)	MAPKAPK5-AS1 C12orf47	Homo sapiens (Human)	139
SPG20-AS1	P0CW21	SPGOS_HUMAN	reviewed	Putative uncharacterized protein SPART-AS1 (SPART antisense RNA 1) (SPG20 antisense RNA 1) (SPG20 opposite strand transcript protein)	SPART-AS1 C13orf43 SPG20-AS1 SPG20OS	Homo sapiens (Human)	52
DLEU1	O43261	LEU1_HUMAN	reviewed	Leukemia-associated protein 1 (Deleted in lymphocytic leukemia 1) (HBV X-transactivated gene 6 protein) (HBV XAg-transactivated protein 6)	DLEU1 LEU1 XTP6	Homo sapiens (Human)	78
DLEU1	Q6ICR8	Q6ICR8_HUMAN	unreviewed	DLEU1 protein (cDNA, FLJ92453, Homo sapiens deleted in lymphocytic leukemia, 1 (DLEU1), mRNA) (Fragment)	DLEU1	Homo sapiens (Human)	72
ATXN8OS	P0DMR3	AT8OS_HUMAN	reviewed	Putative protein ATXN8OS (ATXN8 opposite strand) (Spinocerebellar ataxia 8) (kelch-like 1 antisense)	ATXN8OS KLHL1AS SCA8	Homo sapiens (Human)	200
MIR17HG	Q75NE6	MIRH1_HUMAN	reviewed	Putative microRNA 17 host gene protein (Putative microRNA host gene 1 protein)	MIR17HG C13orf25 MIRH1 MIRHG1	Homo sapiens (Human)	70
METTL21EP	A6NDL7	MT21E_HUMAN	reviewed	Putative methyltransferase-like protein 21E pseudogene (EC 2.1.1.-)	METTL21EP METTL21CP1	Homo sapiens (Human)	271
LINC00346	Q8IVM7	CM029_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00346	LINC00346 C13orf29	Homo sapiens (Human)	164
LINC01551	Q86U37	CN023_HUMAN	reviewed	Uncharacterized protein encoded by LINC01551	LINC01551 C14orf23	Homo sapiens (Human)	167
LINC01599	Q8WXQ3	CN183_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01599	LINC01599 C14orf183	Homo sapiens (Human)	324
FRMD6-AS1	P0C7T7	FMAS1_HUMAN	reviewed	Putative uncharacterized protein FRMD6-AS1 (FRMD6 antisense RNA 1) (FRMD6 antisense gene protein 1)	FRMD6-AS1 C14orf82	Homo sapiens (Human)	363
LRRC9	A0A2R8Y4H4	A0A2R8Y4H4_HUMAN	unreviewed	Leucine-rich repeat-containing protein 9	LRRC9	Homo sapiens (Human)	1494
LRRC9	A0A2R8YDI6	A0A2R8YDI6_HUMAN	unreviewed	Leucine-rich repeat-containing protein 9 (Fragment)	LRRC9	Homo sapiens (Human)	96
LRRC9	H3BUB1	H3BUB1_HUMAN	unreviewed	Leucine-rich repeat-containing protein 9 (Fragment)	LRRC9	Homo sapiens (Human)	112
LRRC9	H3BUS4	H3BUS4_HUMAN	unreviewed	Leucine-rich repeat-containing protein 9 (Fragment)	LRRC9	Homo sapiens (Human)	114
LRRC9	Q6ZRR7	LRRC9_HUMAN	reviewed	Leucine-rich repeat-containing protein 9	LRRC9	Homo sapiens (Human)	1453
LINC00643	Q86TS7	U730_HUMAN	reviewed	Putative UPF0730 protein encoded by LINC00643 (Long intergenic non-protein coding RNA 643)	LINC00643	Homo sapiens (Human)	51
SERPINA13P	Q6UXR4	SPA13_HUMAN	reviewed	Putative serpin A13	SERPINA13P SERPINA13 UNQ6121/PRO20043	Homo sapiens (Human)	307
TCL6	A0A024R6G0	A0A024R6G0_HUMAN	unreviewed	T-cell leukemia/lymphoma 6, isoform CRA_b	TCL6 hCG_22871	Homo sapiens (Human)	141
TCL6	A0A024R6J2	A0A024R6J2_HUMAN	unreviewed	T-cell leukemia/lymphoma 6, isoform CRA_d	TCL6 hCG_22871	Homo sapiens (Human)	163
TCL6	A0A024R6J5	A0A024R6J5_HUMAN	unreviewed	T-cell leukemia/lymphoma 6, isoform CRA_a	TCL6 hCG_22871	Homo sapiens (Human)	119
TCL6	A0A024R6L9	A0A024R6L9_HUMAN	unreviewed	T-cell leukemia/lymphoma 6, isoform CRA_c	TCL6 hCG_22871	Homo sapiens (Human)	103
TUNAR	A0A1B0GTB2	A0A1B0GTB2_HUMAN	unreviewed	HCG2038094, isoform CRA_a (TCL1 upstream neural differentiation-associated RNA)	TUNAR hCG_2038094	Homo sapiens (Human)	48
LINC00523	Q86TU6	CN070_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00523	LINC00523 C14orf70	Homo sapiens (Human)	105
TMCO5B	A8MYB1	TMC5B_HUMAN	reviewed	Transmembrane and coiled-coil domain-containing protein 5B	TMCO5B	Homo sapiens (Human)	307
C15orf54	Q8N8G6	CO054_HUMAN	reviewed	Putative uncharacterized protein C15orf54	C15orf54	Homo sapiens (Human)	183
HSP90AB4P	Q58FF6	H90B4_HUMAN	reviewed	Putative heat shock protein HSP 90-beta 4	HSP90AB4P	Homo sapiens (Human)	505
HEXA-AS1	Q9H8Q6	HEAS1_HUMAN	reviewed	Putative uncharacterized protein encoded by HEXA-AS1 (HEXA antisense RNA 1) (HEXA antisense gene protein 1)	HEXA-AS1 C15orf34	Homo sapiens (Human)	139
LINC00597	Q9H2U6	CO005_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00597	LINC00597 C15orf5	Homo sapiens (Human)	94
ST20-AS1	Q8NBB2	STAS1_HUMAN	reviewed	Putative uncharacterized protein ST20-AS1 (ST20 antisense RNA 1) (ST20 antisense gene protein 1)	ST20-AS1 C15orf37	Homo sapiens (Human)	130
SCAND2P	Q9GZW5	SCND2_HUMAN	reviewed	Putative SCAN domain-containing protein SCAND2P (SCAN domain-containing protein 2 pseudogene)	SCAND2P SCAND2	Homo sapiens (Human)	306
LINC00052	Q96N35	TMM83_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00052 (Putative transmembrane protein 83)	LINC00052 NCRNA00052 TMEM83	Homo sapiens (Human)	136
TTLL13P	A0A1W2PP44	A0A1W2PP44_HUMAN	unreviewed	Tubulin polyglutamylase TTLL13P	TTLL13P	Homo sapiens (Human)	143
TTLL13P	A0A1W2PRM3	A0A1W2PRM3_HUMAN	unreviewed	Tubulin polyglutamylase TTLL13P	TTLL13P	Homo sapiens (Human)	636
TTLL13P	A0A286YFC2	A0A286YFC2_HUMAN	unreviewed	Tubulin polyglutamylase TTLL13P	TTLL13P	Homo sapiens (Human)	751
TTLL13P	A6NNM8	TTL13_HUMAN	reviewed	Tubulin polyglutamylase TTLL13P (EC 6.-.-.-) (Tubulin tyrosine ligase-like family member 13 pseudogene) (Tubulin--tyrosine ligase-like protein 13)	TTLL13P TTLL13	Homo sapiens (Human)	815
HSP90B2P	Q58FF3	ENPLL_HUMAN	reviewed	Putative endoplasmin-like protein (Putative heat shock protein 90 kDa beta member 2)	HSP90B2P GRP94B GRP94P1 TRAP1	Homo sapiens (Human)	399
LINC00514	A0A0J9YXV3	A0A0J9YXV3_HUMAN	unreviewed	Long intergenic non-protein coding RNA 514	LINC00514	Homo sapiens (Human)	536
OR1F2P	Q96R84	OR1F2_HUMAN	reviewed	Putative olfactory receptor 1F2 (OLFmf2)	OR1F2P OR1F2	Homo sapiens (Human)	312
BCAR4	D3DUG6	D3DUG6_HUMAN	unreviewed	Breast cancer antiestrogen resistance 4 protein (HCG1814062, isoform CRA_a)	BCAR4 hCG_1814062	Homo sapiens (Human)	121
CRYM-AS1	A6NIL9	CRAS1_HUMAN	reviewed	Putative uncharacterized protein CRYM-AS1 (CRYM antisense RNA 1) (CRYM antisense gene protein 1)	CRYM-AS1 NCRNA00169	Homo sapiens (Human)	109
FBXL19-AS1	Q494R0	FBAS1_HUMAN	reviewed	Putative uncharacterized protein FBXL19-AS1 (FBXL19 antisense RNA 1) (FBXL19 antisense gene protein 1)	FBXL19-AS1 NCRNA00095	Homo sapiens (Human)	122
CLUHP3	Q96NS8	CLUP3_HUMAN	reviewed	Putative protein CLUHP3 (Clustered mitochondria (cluA/CLU1) homolog pseudogene 3) (KIAA0664-like protein 3)	CLUHP3 C16orf67 KIAA0664L3	Homo sapiens (Human)	147
ANKRD26P1	Q6NSI1	AR26L_HUMAN	reviewed	Putative ankyrin repeat domain-containing protein 26-like protein	ANKRD26P1	Homo sapiens (Human)	321
MT1DP	A1L3X4	MT1DP_HUMAN	reviewed	Putative metallothionein MT1DP	MT1DP MTM	Homo sapiens (Human)	49
LINC00311	Q8N616	TM148_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00311	LINC00311 NCRNA00311 TMEM148	Homo sapiens (Human)	119
LINC00304	Q8N9R0	CP081_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00304	LINC00304 C16orf81 NCRNA00304	Homo sapiens (Human)	145
GAS8-AS1	O95177	GAAS1_HUMAN	reviewed	Uncharacterized protein GAS8-AS1 (GAS8 antisense RNA 1) (GAS8 antisense gene protein 1)	GAS8-AS1 C16orf3	Homo sapiens (Human)	125
MIR22HG	Q0VDD5	CQ091_HUMAN	reviewed	Putative uncharacterized protein encoded by MIR22HG	MIR22HG C17orf91	Homo sapiens (Human)	57
LOC284009	Q4G0H6	Q4G0H6_HUMAN	unreviewed	Uncharacterized protein	LOC284009	Homo sapiens (Human)	157
RNASEK-C17orf49	H0YIS7	H0YIS7_HUMAN	unreviewed	RNASEK-C17orf49 readthrough (Fragment)	RNASEK-C17orf49	Homo sapiens (Human)	233
TMEM256-PLSCR3	K7ENI6	K7ENI6_HUMAN	unreviewed	TMEM256-PLSCR3 readthrough (NMD candidate)	TMEM256-PLSCR3	Homo sapiens (Human)	41
TMEM256-PLSCR3	K7ERE1	K7ERE1_HUMAN	unreviewed	TMEM256-PLSCR3 readthrough (NMD candidate)	TMEM256-PLSCR3	Homo sapiens (Human)	68
TMEM256-PLSCR3	K7ESI7	K7ESI7_HUMAN	unreviewed	TMEM256-PLSCR3 readthrough (NMD candidate) (Fragment)	TMEM256-PLSCR3	Homo sapiens (Human)	28
SENP3-EIF4A1	A0A087X0R7	A0A087X0R7_HUMAN	unreviewed	SENP3-EIF4A1 readthrough (NMD candidate) (Fragment)	SENP3-EIF4A1	Homo sapiens (Human)	540
SMCR5	Q8TEV8	SMCR5_HUMAN	reviewed	Smith-Magenis syndrome chromosomal region candidate gene 5 protein	SMCR5	Homo sapiens (Human)	140
PYY2	Q9NRI6	PYY2_HUMAN	reviewed	Putative peptide YY-2 (Putative peptide YY2)	PYY2	Homo sapiens (Human)	33
CCL15-CCL14	A0A0B4J2E2	A0A0B4J2E2_HUMAN	unreviewed	C-C motif chemokine	CCL15-CCL14	Homo sapiens (Human)	113
LINC00672	A0A1B0GWH6	A0A1B0GWH6_HUMAN	unreviewed	Long intergenic non-protein coding RNA 672	LINC00672	Homo sapiens (Human)	25
ASB16-AS1	Q495Z4	ASAS1_HUMAN	reviewed	Putative uncharacterized protein ASB16-AS1 (ASB16 antisense RNA 1) (ASB16 antisense gene protein 1)	ASB16-AS1 C17orf65	Homo sapiens (Human)	193
FLJ40194	Q8N7Z3	Q8N7Z3_HUMAN	unreviewed	FLJ40194 protein (cDNA FLJ40194 fis, clone TESTI2019481)	FLJ40194 hCG_2001617	Homo sapiens (Human)	131
LOC100288866	L0R501	L0R501_HUMAN	unreviewed	Alternative protein LOC100288866	LOC100288866	Homo sapiens (Human)	101
HILS1	P60008	HILS1_HUMAN	reviewed	Spermatid-specific linker histone H1-like protein	HILS1	Homo sapiens (Human)	231
LOC100294362	Q8WYU1	Q8WYU1_HUMAN	unreviewed	Alternative protein LOC100294362	pp7201 LOC100294362	Homo sapiens (Human)	165
LINC00482	Q8N8I6	CQ055_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00482	LINC00482 C17orf55	Homo sapiens (Human)	264
LINC00470	Q9BZP3	CR002_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00470	LINC00470 C18orf2	Homo sapiens (Human)	86
LINC00526	Q96FQ7	CR018_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00526	LINC00526 C18orf18	Homo sapiens (Human)	95
LINC01387	J3KSC0	CR064_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01387	LINC01387 C18orf64	Homo sapiens (Human)	135
C18orf15	Q96N68	CR015_HUMAN	reviewed	Putative uncharacterized protein C18orf15	C18orf15	Homo sapiens (Human)	181
CIRBP-AS1	Q8TBR5	CSAS1_HUMAN	reviewed	Putative uncharacterized protein CIRBP-AS1 (CIRBP antisense RNA 1) (CIRBP antisense gene protein 1)	CIRBP-AS1 C19orf23	Homo sapiens (Human)	109
CACTIN-AS1	Q8N1I8	CAAS1_HUMAN	reviewed	Putative uncharacterized protein encoded by CACTIN-AS1 (Cactin antisense RNA 1)	CACTIN-AS1 C19orf29-AS1 C19orf29OS	Homo sapiens (Human)	211
TINCR	A0A1B0GTR7	A0A1B0GTR7_HUMAN	unreviewed	TINCR ubiquitin domain-containing (Fragment)	TINCR	Homo sapiens (Human)	56
TINCR	A0A1B0GVN0	A0A1B0GVN0_HUMAN	unreviewed	TINCR ubiquitin domain-containing	TINCR	Homo sapiens (Human)	87
TINCR	A0A2R8Y7D0	A0A2R8Y7D0_HUMAN	unreviewed	TINCR ubiquitin domain-containing	TINCR	Homo sapiens (Human)	120
C3P1	Q6ZMU1	C3P1_HUMAN	reviewed	Putative protein C3P1	C3P1	Homo sapiens (Human)	363
ZNF625-ZNF20	F2Z3I2	F2Z3I2_HUMAN	unreviewed	ZNF625-ZNF20 readthrough (NMD candidate) (Zinc finger protein 625)	ZNF625-ZNF20 ZNF625	Homo sapiens (Human)	61
ZNF625-ZNF20	F8WDT6	F8WDT6_HUMAN	unreviewed	ZNF625-ZNF20 readthrough (NMD candidate)	ZNF625-ZNF20	Homo sapiens (Human)	125
ZNF738	E9PE46	E9PE46_HUMAN	unreviewed	Protein ZNF738	ZNF738	Homo sapiens (Human)	117
ZNF738	M0R024	M0R024_HUMAN	unreviewed	Protein ZNF738	ZNF738	Homo sapiens (Human)	68
ZNF738	M0R0N2	M0R0N2_HUMAN	unreviewed	Protein ZNF738	ZNF738	Homo sapiens (Human)	129
ZNF738	M0R3I0	M0R3I0_HUMAN	unreviewed	Protein ZNF738	ZNF738	Homo sapiens (Human)	44
ZNF738	Q8NE65	ZN738_HUMAN	reviewed	Protein ZNF738	ZNF738	Homo sapiens (Human)	137
ZNF724	A0A087WUU8	A0A087WUU8_HUMAN	unreviewed	Zinc finger protein 724 (Fragment)	ZNF724	Homo sapiens (Human)	490
ZNF724	A8MTY0	ZN724_HUMAN	reviewed	Zinc finger protein 724	ZNF724 ZNF724P	Homo sapiens (Human)	619
ZNF724	M0R0Z7	M0R0Z7_HUMAN	unreviewed	Zinc finger protein 724	ZNF724	Homo sapiens (Human)	77
ZNF724	M0R3J2	M0R3J2_HUMAN	unreviewed	Zinc finger protein 724 (Fragment)	ZNF724	Homo sapiens (Human)	99
LOC400684	Q9BVU7	Q9BVU7_HUMAN	unreviewed	LOC400684 protein (Fragment)	LOC400684	Homo sapiens (Human)	24
LGALS17A	Q6ZW74	Q6ZW74_HUMAN	unreviewed	Galectin	LGALS17A	Homo sapiens (Human)	151
APOC4-APOC2	K7ER74	K7ER74_HUMAN	unreviewed	APOC4-APOC2 readthrough (NMD candidate)	APOC4-APOC2	Homo sapiens (Human)	178
KLKP1	Q107X0	KRIP1_HUMAN	reviewed	Putative protein KRIP1 (Kallikrein-related in prostate protein 1) (Kallikrein-related mRNA protein) (KARMA)	KLKP1 KLK31P	Homo sapiens (Human)	134
ZNF137P	P52743	ZN137_HUMAN	reviewed	Putative zinc finger protein 137 (Zinc finger protein 137 pseudogene)	ZNF137P ZNF137	Homo sapiens (Human)	207
ZNF702P	Q9H963	ZN702_HUMAN	reviewed	Putative zinc finger protein 702	ZNF702P ZNF702	Homo sapiens (Human)	129
ZNF818P	Q6ZRF7	ZN818_HUMAN	reviewed	Putative zinc finger protein 818	ZNF818P ZNF818	Homo sapiens (Human)	136
KIR3DX1	A0A087WZE3	A0A087WZE3_HUMAN	unreviewed	Putative killer cell immunoglobulin-like receptor-like protein KIR3DX1	KIR3DX1	Homo sapiens (Human)	365
KIR3DX1	A0A0G2JQ57	A0A0G2JQ57_HUMAN	unreviewed	Putative killer cell immunoglobulin-like receptor-like protein KIR3DX1 (Fragment)	KIR3DX1	Homo sapiens (Human)	120
KIR3DX1	F2Z2P8	F2Z2P8_HUMAN	unreviewed	Putative killer cell immunoglobulin-like receptor-like protein KIR3DX1	KIR3DX1	Homo sapiens (Human)	133
KIR3DX1	F8WDC3	F8WDC3_HUMAN	unreviewed	Putative killer cell immunoglobulin-like receptor-like protein KIR3DX1	KIR3DX1	Homo sapiens (Human)	139
KIR3DX1	Q9H7L2	KI3X1_HUMAN	reviewed	Putative killer cell immunoglobulin-like receptor-like protein KIR3DX1 (Leukocyte receptor cluster member 12)	KIR3DX1 KIR3DL0 LENG12	Homo sapiens (Human)	352
ZNF542P	Q5EBM4	ZN542_HUMAN	reviewed	Putative zinc finger protein 542 (Zinc finger protein 542 pseudogene)	ZNF542P ZNF542	Homo sapiens (Human)	170
ERVK3-1	A0A0U1RQL9	A0A0U1RQL9_HUMAN	unreviewed	Endogenous retrovirus group K3 member 1 (Fragment)	ERVK3-1	Homo sapiens (Human)	79
ERVK3-1	A0A0U1RQN3	A0A0U1RQN3_HUMAN	unreviewed	Endogenous retrovirus group K3 member 1 (Fragment)	ERVK3-1	Homo sapiens (Human)	85
ERVK3-1	A0A0U1RQS5	A0A0U1RQS5_HUMAN	unreviewed	Endogenous retrovirus group K3 member 1 (Fragment)	ERVK3-1	Homo sapiens (Human)	98
ERVK3-1	A0A0U1RQV1	A0A0U1RQV1_HUMAN	unreviewed	Endogenous retrovirus group K3 member 1 (Fragment)	ERVK3-1	Homo sapiens (Human)	116
ERVK3-1	B3KNS4	B3KNS4_HUMAN	unreviewed	Endogenous retrovirus group K3 member 1 (HCG2043597, isoform CRA_a) (cDNA FLJ30306 fis, clone BRACE2003319)	ERVK3-1 hCG_2043597	Homo sapiens (Human)	109
ERVK3-1	Q96A10	Q96A10_HUMAN	unreviewed	Endogenous retrovirus group K3 member 1 (HCG2043597, isoform CRA_b) (LOC113386 protein)	ERVK3-1 hCG_2043597	Homo sapiens (Human)	74
PRNT	Q86SH4	PRNT_HUMAN	reviewed	Putative testis-specific prion protein (Protein M8)	PRNT	Homo sapiens (Human)	94
TSPY26P	Q9H489	TSY26_HUMAN	reviewed	Putative testis-specific Y-encoded-like protein 3 (TSPY-like protein 3) (Testis-specific Y-encoded protein 26 pseudogene)	TSPY26P TSPYL3	Homo sapiens (Human)	355
BPIFA4P	Q86YQ2	LATH_HUMAN	reviewed	Putative BPIFA4P protein (BPI fold containing family A, member 4, pseudogene) (Breast cancer and salivary gland-expressed protein) (Putative latherin)	BPIFA4P BASE LATH	Homo sapiens (Human)	179
MMP24-AS1	A0A0U1RRL7	MMPOS_HUMAN	reviewed	Protein MMP24OS (MMP24 opposite strand)	MMP24OS MMP24-AS1	Homo sapiens (Human)	71
FER1L4	A9Z1Z3	FR1L4_HUMAN	reviewed	Fer-1-like protein 4	FER1L4 C20orf124	Homo sapiens (Human)	1794
FER1L4	Q2NNQ8	Q2NNQ8_HUMAN	unreviewed	FER-1-like protein 4	FER1L4	Homo sapiens (Human)	2055
SUMO1P1	G2XKQ0	SUMO5_HUMAN	reviewed	Small ubiquitin-related modifier 5 (SUMO-5) (SUMO1 pseudogene 1) (Ubiquitin-like 2) (Ubiquitin-like 6)	SUMO1P1 SUMO5 UBL2 UBL6	Homo sapiens (Human)	101
PPP4R1L	Q9P1A2	PP4RL_HUMAN	reviewed	Putative serine/threonine-protein phosphatase 4 regulatory subunit 1-like	PPP4R1L C20orf192 PRO1085	Homo sapiens (Human)	415
STX16-NPEPL1	H3BU86	H3BU86_HUMAN	unreviewed	STX16-NPEPL1 readthrough (NMD candidate)	STX16-NPEPL1	Homo sapiens (Human)	382
RTEL1-TNFRSF6B	D6RA96	D6RA96_HUMAN	unreviewed	Regulator of telomere elongation helicase 1 (EC 3.6.4.12)	RTEL1-TNFRSF6B RTEL1	Homo sapiens (Human)	785
LINC00158	P58513	CU042_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00158	LINC00158 C21orf42 NCRNA00158	Homo sapiens (Human)	81
URB1-AS1	Q96HZ7	URAS1_HUMAN	reviewed	Putative uncharacterized protein URB1-AS1 (URB1 antisense RNA 1) (URB1 antisense gene protein 1)	URB1-AS1 C21orf119 PRED84	Homo sapiens (Human)	61
C21orf62-AS1	Q17RA5	CMAS1_HUMAN	reviewed	Putative uncharacterized protein C21orf62-AS1 (C21orf62 antisense RNA 1) (C21orf62 antisense gene protein 1)	C21orf62-AS1 C21orf49	Homo sapiens (Human)	79
LINC00310	P59036	CU082_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00310	LINC00310 C21orf82 NCRNA00310	Homo sapiens (Human)	64
DSCR9	P59020	DSCR9_HUMAN	reviewed	Down syndrome critical region protein 9	DSCR9	Homo sapiens (Human)	149
DSCR4	P56555	DSCR4_HUMAN	reviewed	Down syndrome critical region protein 4 (Down syndrome critical region protein B)	DSCR4 DCRB DSCRB	Homo sapiens (Human)	118
LINC00114	Q6XXX2	CU024_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00114	LINC00114 C21orf24 NCRNA00114	Homo sapiens (Human)	140
BRWD1-IT2	P59051	BRAS2_HUMAN	reviewed	Putative uncharacterized protein encoded by BRWD1-AS2 (ATP1A1 antisense RNA 1) (ATP1A1 antisense gene protein 1) (BRWD1 intronic transcript 2)	BRWD1-AS2 BRWD1-IT2 C21orf87 NCRNA00257	Homo sapiens (Human)	145
B3GALT5-AS1	P59052	B3AS1_HUMAN	reviewed	Putative uncharacterized protein B3GALT5-AS1 (B3GALT5 antisense RNA 1) (B3GALT5 antisense gene protein 1)	B3GALT5-AS1 C21orf88	Homo sapiens (Human)	145
LINC00479	Q96M42	CU129_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00479	LINC00479 C21orf129 PRED76	Homo sapiens (Human)	142
ZNF295-AS1	Q8N0V1	ZNAS1_HUMAN	reviewed	Putative uncharacterized protein ZNF295-AS1 (ZNF295 antisense RNA 1) (ZNF295 antisense gene protein 1)	ZNF295-AS1 C21orf121 NCRNA00318 PRED87	Homo sapiens (Human)	137
UMODL1-AS1	Q8N2C9	UMAS1_HUMAN	reviewed	Uncharacterized protein UMODL1-AS1 (UMODL1 antisense RNA 1) (UMODL1 antisense gene protein 1)	UMODL1-AS1 C21orf128	Homo sapiens (Human)	162
LINC00322	Q6ZN03	CU136_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00322	LINC00322 C21orf136 NCRNA00322	Homo sapiens (Human)	302
TSPEAR-AS2	P59090	TSAS2_HUMAN	reviewed	Putative uncharacterized protein TSPEAR-AS2 (TSPEAR antisense RNA 2) (TSPEAR antisense gene protein 2)	TSPEAR-AS2 C21orf90	Homo sapiens (Human)	65
LINC01547	P58512	CU067_HUMAN	reviewed	Uncharacterized protein encoded by LINC01547	LINC01547 C21orf67 C21orf69	Homo sapiens (Human)	204
LINC00528	Q8N1L1	CV037_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00528	LINC00528 C22orf37	Homo sapiens (Human)	170
GUSBP11	Q6P575	BGP11_HUMAN	reviewed	Putative inactive beta-glucuronidase protein GUSBP11 (Beta-glucuronidase pseudogene 11)	GUSBP11	Homo sapiens (Human)	273
ADORA2A-AS1	P86434	AAS1_HUMAN	reviewed	Putative uncharacterized protein ADORA2A-AS1 (ADORA2A antisense RNA 1) (ADORA2A antisense gene protein 1)	ADORA2A-AS1 C22orf45	Homo sapiens (Human)	159
SPECC1L-ADORA2A	F8WAN1	F8WAN1_HUMAN	unreviewed	SPECC1L-ADORA2A readthrough (NMD candidate)	SPECC1L-ADORA2A	Homo sapiens (Human)	911
KIAA1656	Q569K6	CC157_HUMAN	reviewed	Coiled-coil domain-containing protein 157	CCDC157 KIAA1656	Homo sapiens (Human)	752
LINC00634	A0A590UK49	A0A590UK49_HUMAN	unreviewed	Long intergenic non-protein coding RNA 634	LINC00634	Homo sapiens (Human)	68
LINC00634	A0A590UK83	A0A590UK83_HUMAN	unreviewed	Long intergenic non-protein coding RNA 634	LINC00634	Homo sapiens (Human)	107
