yourlist:M20200514A94466D2655679D1FD8953E075198DA8C1D4D0E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
C1orf189	Q5VU69	CA189_HUMAN	reviewed	Uncharacterized protein C1orf189	C1orf189	Homo sapiens (Human)	101
ATP8B2	P98198	AT8B2_HUMAN	reviewed	Phospholipid-transporting ATPase ID (EC 7.6.2.1) (ATPase class I type 8B member 2) (P4-ATPase flippase complex alpha subunit ATP8B2)	ATP8B2 ATPID KIAA1137	Homo sapiens (Human)	1209
IL6R	P08887	IL6RA_HUMAN	reviewed	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126)	IL6R	Homo sapiens (Human)	468
SHE	Q5VZ18	SHE_HUMAN	reviewed	SH2 domain-containing adapter protein E	SHE	Homo sapiens (Human)	495
TDRD10	Q5VZ19	TDR10_HUMAN	reviewed	Tudor domain-containing protein 10	TDRD10 UNQ9380/PRO34205	Homo sapiens (Human)	366
ADAR	P55265	DSRAD_HUMAN	reviewed	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	1226
KCNN3	Q9UGI6	KCNN3_HUMAN	reviewed	Small conductance calcium-activated potassium channel protein 3 (SK3) (SKCa 3) (SKCa3) (KCa2.3)	KCNN3 K3	Homo sapiens (Human)	731
ZBTB7B	O15156	ZBT7B_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 7B (Krueppel-related zinc finger protein cKrox) (hcKrox) (T-helper-inducing POZ/Krueppel-like factor) (Zinc finger and BTB domain-containing protein 15) (Zinc finger protein 67 homolog) (Zfp-67) (Zinc finger protein 857B) (Zinc finger protein Th-POK)	ZBTB7B ZBTB15 ZFP67 ZNF857B	Homo sapiens (Human)	539
ADAM15	Q13444	ADA15_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin)	ADAM15 MDC15	Homo sapiens (Human)	863
EFNA3	P52797	EFNA3_HUMAN	reviewed	Ephrin-A3 (EFL-2) (EHK1 ligand) (EHK1-L) (EPH-related receptor tyrosine kinase ligand 3) (LERK-3)	EFNA3 EFL2 EPLG3 LERK3	Homo sapiens (Human)	238
MTX1	Q13505	MTX1_HUMAN	reviewed	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	MTX1 MTX MTXN	Homo sapiens (Human)	466
RUSC1-AS1	Q66K80	RUAS1_HUMAN	reviewed	Putative uncharacterized protein RUSC1-AS1 (RUSC1 antisense RNA 1) (RUSC1 antisense gene protein 1)	RUSC1-AS1 C1orf104	Homo sapiens (Human)	236
RUSC1	Q9BVN2	RUSC1_HUMAN	reviewed	RUN and SH3 domain-containing protein 1 (New molecule containing SH3 at the carboxy-terminus) (Nesca)	RUSC1 NESCA	Homo sapiens (Human)	902
ASH1L	Q9NR48	ASH1L_HUMAN	reviewed	Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.-) (EC 2.1.1.359) (ASH1-like protein) (huASH1) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H)	ASH1L KIAA1420 KMT2H	Homo sapiens (Human)	2969
DAP3	O95886	DLGP3_HUMAN	reviewed	Disks large-associated protein 3 (DAP-3) (PSD-95/SAP90-binding protein 3) (SAP90/PSD-95-associated protein 3) (SAPAP3)	DLGAP3 DAP3	Homo sapiens (Human)	979
DAP3	P51398	RT29_HUMAN	reviewed	28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3) (Ionizing radiation resistance conferring protein) (Mitochondrial small ribosomal subunit protein mS29)	DAP3 MRPS29	Homo sapiens (Human)	398
SYT11	Q9BT88	SYT11_HUMAN	reviewed	Synaptotagmin-11 (Synaptotagmin XI) (SytXI)	SYT11 KIAA0080	Homo sapiens (Human)	431
RIT1	Q92963	RIT1_HUMAN	reviewed	GTP-binding protein Rit1 (Ras-like protein expressed in many tissues) (Ras-like without CAAX protein 1)	RIT1 RIBB RIT ROC1	Homo sapiens (Human)	219
RIT1	Q9C0K0	BC11B_HUMAN	reviewed	B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1)	BCL11B CTIP2 RIT1	Homo sapiens (Human)	894
RXFP4	Q8TDU9	RL3R2_HUMAN	reviewed	Relaxin-3 receptor 2 (RLN3 receptor 2) (G-protein coupled receptor 100) (G-protein coupled receptor GPCR142) (Insulin-like peptide INSL5 receptor) (Relaxin family peptide receptor 4)	RXFP4 GPCR142 GPR100 RLN3R2	Homo sapiens (Human)	374
UBQLN4	Q9NRR5	UBQL4_HUMAN	reviewed	Ubiquilin-4 (Ataxin-1 interacting ubiquitin-like protein) (A1Up) (Ataxin-1 ubiquitin-like-interacting protein A1U) (Connexin43-interacting protein of 75 kDa) (CIP75)	UBQLN4 C1orf6 CIP75 UBIN	Homo sapiens (Human)	601
SEMA4A	Q9H3S1	SEM4A_HUMAN	reviewed	Semaphorin-4A (Semaphorin-B) (Sema B)	SEMA4A SEMAB SEMB UNQ783/PRO1317	Homo sapiens (Human)	761
PMF1	Q6P1K2	PMF1_HUMAN	reviewed	Polyamine-modulated factor 1 (PMF-1)	PMF1	Homo sapiens (Human)	205
PAQR6	Q6TCH4	PAQR6_HUMAN	reviewed	Membrane progestin receptor delta (mPR delta) (Membrane progesterone P4 receptor delta) (Membrane progesterone receptor delta) (Progesterone and adipoQ receptor family member 6) (Progestin and adipoQ receptor family member 6)	PAQR6	Homo sapiens (Human)	344
RHBG	Q9H310	RHBG_HUMAN	reviewed	Ammonium transporter Rh type B (Rhesus blood group family type B glycoprotein) (Rh family type B glycoprotein) (Rh type B glycoprotein)	RHBG	Homo sapiens (Human)	441
MEF2D	Q14814	MEF2D_HUMAN	reviewed	Myocyte-specific enhancer factor 2D	MEF2D	Homo sapiens (Human)	521
IQGAP3	Q86VI3	IQGA3_HUMAN	reviewed	Ras GTPase-activating-like protein IQGAP3	IQGAP3	Homo sapiens (Human)	1631
TTC24	A2A3L6	TTC24_HUMAN	reviewed	Tetratricopeptide repeat protein 24 (TPR repeat protein 24)	TTC24	Homo sapiens (Human)	582
NAXE	Q8NCW5	NNRE_HUMAN	reviewed	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (Apolipoprotein A-I-binding protein) (AI-BP) (NAD(P)HX epimerase) (YjeF N-terminal domain-containing protein 1) (YjeF_N1)	NAXE AIBP APOA1BP YJEFN1	Homo sapiens (Human)	288
GPATCH4	Q5T3I0	GPTC4_HUMAN	reviewed	G patch domain-containing protein 4	GPATCH4 GPATC4	Homo sapiens (Human)	446
NES	P48681	NEST_HUMAN	reviewed	Nestin	NES Nbla00170	Homo sapiens (Human)	1621
NTRK1	P04629	NTRK1_HUMAN	reviewed	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)	NTRK1 MTC TRK TRKA	Homo sapiens (Human)	796
PEAR1	Q5VY43	PEAR1_HUMAN	reviewed	Platelet endothelial aggregation receptor 1 (hPEAR1) (Multiple epidermal growth factor-like domains protein 12) (Multiple EGF-like domains protein 12)	PEAR1 MEGF12	Homo sapiens (Human)	1037
LRRC71	Q8N4P6	LRC71_HUMAN	reviewed	Leucine-rich repeat-containing protein 71	LRRC71 C1orf92	Homo sapiens (Human)	559
ARHGEF11	O15085	ARHGB_HUMAN	reviewed	Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF)	ARHGEF11 KIAA0380	Homo sapiens (Human)	1522
ETV3L	Q6ZN32	ETV3L_HUMAN	reviewed	ETS translocation variant 3-like protein	ETV3L	Homo sapiens (Human)	361
FCRL5	Q96RD9	FCRL5_HUMAN	reviewed	Fc receptor-like protein 5 (FcR-like protein 5) (FcRL5) (BXMAS1) (Fc receptor homolog 5) (FcRH5) (Immune receptor translocation-associated protein 2) (CD antigen CD307e)	FCRL5 FCRH5 IRTA2 UNQ503/PRO820	Homo sapiens (Human)	977
FCRL4	Q96PJ5	FCRL4_HUMAN	reviewed	Fc receptor-like protein 4 (FcR-like protein 4) (FcRL4) (Fc receptor homolog 4) (FcRH4) (IFGP family protein 2) (hIFGP2) (Immune receptor translocation-associated protein 1) (CD antigen CD307d)	FCRL4 FCRH4 IFGP2 IRTA1	Homo sapiens (Human)	515
FCRL3	Q96P31	FCRL3_HUMAN	reviewed	Fc receptor-like protein 3 (FcR-like protein 3) (FcRL3) (Fc receptor homolog 3) (FcRH3) (IFGP family protein 3) (hIFGP3) (Immune receptor translocation-associated protein 3) (SH2 domain-containing phosphatase anchor protein 2) (CD antigen CD307c)	FCRL3 FCRH3 IFGP3 IRTA3 SPAP2	Homo sapiens (Human)	734
FCRL1	Q96LA6	FCRL1_HUMAN	reviewed	Fc receptor-like protein 1 (FcR-like protein 1) (FcRL1) (Fc receptor homolog 1) (FcRH1) (IFGP family protein 1) (hIFGP1) (Immune receptor translocation-associated protein 5) (CD antigen CD307a)	FCRL1 FCRH1 IFGP1 IRTA5	Homo sapiens (Human)	429
CD1A	P06126	CD1A_HUMAN	reviewed	T-cell surface glycoprotein CD1a (T-cell surface antigen T6/Leu-6) (hTa1 thymocyte antigen) (CD antigen CD1a)	CD1A	Homo sapiens (Human)	327
CD1E	P15812	CD1E_HUMAN	reviewed	T-cell surface glycoprotein CD1e, membrane-associated (hCD1e) (R2G1) (CD antigen CD1e) [Cleaved into: T-cell surface glycoprotein CD1e, soluble (sCD1e)]	CD1E	Homo sapiens (Human)	388
OR10T2	Q8NGX3	O10T2_HUMAN	reviewed	Olfactory receptor 10T2 (Olfactory receptor OR1-3)	OR10T2	Homo sapiens (Human)	314
OR10K2	Q6IF99	O10K2_HUMAN	reviewed	Olfactory receptor 10K2 (Olfactory receptor OR1-4)	OR10K2	Homo sapiens (Human)	312
OR10K1	Q8NGX5	O10K1_HUMAN	reviewed	Olfactory receptor 10K1 (Olfactory receptor OR1-6)	OR10K1	Homo sapiens (Human)	313
OR10R2	Q8NGX6	O10R2_HUMAN	reviewed	Olfactory receptor 10R2 (Olfactory receptor OR1-8)	OR10R2	Homo sapiens (Human)	335
OR6P1	Q8NGX9	OR6P1_HUMAN	reviewed	Olfactory receptor 6P1 (Olfactory receptor OR1-12)	OR6P1	Homo sapiens (Human)	317
OR10X1	Q8NGY0	O10X1_HUMAN	reviewed	Olfactory receptor 10X1 (Olfactory receptor OR1-14)	OR10X1 OR10X1P	Homo sapiens (Human)	326
SPTA1	P02549	SPTA1_HUMAN	reviewed	Spectrin alpha chain, erythrocytic 1 (Erythroid alpha-spectrin)	SPTA1 SPTA	Homo sapiens (Human)	2419
OR6K3	Q8NGY3	OR6K3_HUMAN	reviewed	Olfactory receptor 6K3 (Olfactory receptor OR1-18)	OR6K3	Homo sapiens (Human)	331
OR6K6	Q8NGW6	OR6K6_HUMAN	reviewed	Olfactory receptor 6K6 (Olfactory receptor OR1-21)	OR6K6	Homo sapiens (Human)	343
OR6N1	Q8NGY5	OR6N1_HUMAN	reviewed	Olfactory receptor 6N1	OR6N1	Homo sapiens (Human)	312
MNDA	P41218	MNDA_HUMAN	reviewed	Myeloid cell nuclear differentiation antigen	MNDA	Homo sapiens (Human)	407
IFI16	Q16666	IF16_HUMAN	reviewed	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	Homo sapiens (Human)	785
CADM3	Q8N126	CADM3_HUMAN	reviewed	Cell adhesion molecule 3 (Brain immunoglobulin receptor) (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (SynCAM3) (TSLC1-like protein 1) (TSLL1)	CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258	Homo sapiens (Human)	398
ACKR1	Q16570	ACKR1_HUMAN	reviewed	Atypical chemokine receptor 1 (Duffy antigen/chemokine receptor) (Fy glycoprotein) (GpFy) (Glycoprotein D) (Plasmodium vivax receptor) (CD antigen CD234)	ACKR1 DARC FY GPD	Homo sapiens (Human)	336
FCER1A	P12319	FCERA_HUMAN	reviewed	High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha)	FCER1A FCE1A	Homo sapiens (Human)	257
OR10J4	P0C629	O10J4_HUMAN	reviewed	Olfactory receptor 10J4	OR10J4 OR10J4P	Homo sapiens (Human)	311
OR10J1	P30954	O10J1_HUMAN	reviewed	Olfactory receptor 10J1 (Olfactory receptor OR1-26) (Olfactory receptor-like protein HGMP07J)	OR10J1	Homo sapiens (Human)	320
OR10J5	Q8NHC4	O10J5_HUMAN	reviewed	Olfactory receptor 10J5 (Olfactory receptor OR1-28)	OR10J5	Homo sapiens (Human)	309
APCS	P02743	SAMP_HUMAN	reviewed	Serum amyloid P-component (SAP) (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203)]	APCS PTX2	Homo sapiens (Human)	223
SNHG28	P0DPA3	SNH28_HUMAN	reviewed	Putative uncharacterized protein SNHG28 (Small nucleolar RNA host gene 2) (VSIG8 overlapping transcript protein) (VSIG8-OT1)	SNHG28 C1orf204	Homo sapiens (Human)	235
IGSF9	Q9P2J2	TUTLA_HUMAN	reviewed	Protein turtle homolog A (Immunoglobulin superfamily member 9A) (IgSF9A)	IGSF9 IGSF9A KIAA1355 NRT1	Homo sapiens (Human)	1179
SLAMF9	Q96A28	SLAF9_HUMAN	reviewed	SLAM family member 9 (CD2 family member 10) (CD2F-10) (CD84 homolog 1) (CD84-H1)	SLAMF9 CD2F10 UNQ1938/PRO4421	Homo sapiens (Human)	289
ATP1A4	Q13733	AT1A4_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-4 (Na(+)/K(+) ATPase alpha-4 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-4)	ATP1A4 ATP1AL2	Homo sapiens (Human)	1029
SLAMF1	Q13291	SLAF1_HUMAN	reviewed	Signaling lymphocytic activation molecule (CDw150) (IPO-3) (SLAM family member 1) (CD antigen CD150)	SLAMF1 SLAM	Homo sapiens (Human)	335
CD48	P09326	CD48_HUMAN	reviewed	CD48 antigen (B-lymphocyte activation marker BLAST-1) (BCM1 surface antigen) (Leukocyte antigen MEM-102) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (TCT.1) (CD antigen CD48)	CD48 BCM1 BLAST1	Homo sapiens (Human)	243
LY9	Q9HBG7	LY9_HUMAN	reviewed	T-lymphocyte surface antigen Ly-9 (Cell surface molecule Ly-9) (Lymphocyte antigen 9) (SLAM family member 3) (SLAMF3) (Signaling lymphocytic activation molecule 3) (CD antigen CD229)	LY9 CDABP0070	Homo sapiens (Human)	655
ITLN1	Q8WWA0	ITLN1_HUMAN	reviewed	Intelectin-1 (ITLN-1) (Endothelial lectin HL-1) (Galactofuranose-binding lectin) (Intestinal lactoferrin receptor) (Omentin)	ITLN1 INTL ITLN LFR UNQ640/PRO1270	Homo sapiens (Human)	313
ITLN2	Q8WWU7	ITLN2_HUMAN	reviewed	Intelectin-2 (Endothelial lectin HL-2)	ITLN2 UNQ2789/PRO7179	Homo sapiens (Human)	325
ARHGAP30	Q7Z6I6	RHG30_HUMAN	reviewed	Rho GTPase-activating protein 30 (Rho-type GTPase-activating protein 30)	ARHGAP30	Homo sapiens (Human)	1101
USP21	Q9UHP3	UBP25_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 25 (EC 3.4.19.12) (Deubiquitinating enzyme 25) (USP on chromosome 21) (Ubiquitin thioesterase 25) (Ubiquitin-specific-processing protease 25)	USP25 USP21	Homo sapiens (Human)	1055
USP21	Q9UK80	UBP21_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 21 (EC 3.4.19.12) (Deubiquitinating enzyme 21) (Ubiquitin thioesterase 21) (Ubiquitin-specific-processing protease 21)	USP21 USP23 PP1490	Homo sapiens (Human)	565
ADAMTS4	O75173	ATS4_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1)	ADAMTS4 KIAA0688 UNQ769/PRO1563	Homo sapiens (Human)	837
FCGR2A	P12318	FCG2A_HUMAN	reviewed	Low affinity immunoglobulin gamma Fc region receptor II-a (IgG Fc receptor II-a) (CDw32) (Fc-gamma RII-a) (Fc-gamma-RIIa) (FcRII-a) (CD antigen CD32)	FCGR2A CD32 FCG2 FCGR2A1 IGFR2	Homo sapiens (Human)	317
FCRL1,FCRLA	Q7L513	FCRLA_HUMAN	reviewed	Fc receptor-like A (Fc receptor homolog expressed in B-cells) (Fc receptor-like and mucin-like protein 1) (Fc receptor-like protein) (Fc receptor-related protein X) (FcRX)	FCRLA FCRL FCRL1 FCRLM1 FCRX FREB UNQ291/PRO329	Homo sapiens (Human)	359
FCRLB	Q6BAA4	FCRLB_HUMAN	reviewed	Fc receptor-like B (Fc receptor homolog expressed in B-cells protein 2) (FREB-2) (Fc receptor-like and mucin-like protein 2) (Fc receptor-like protein 2) (Fc receptor-related protein Y) (FcRY)	FCRLB FCRL2 FCRLM2 FCRY FREB2	Homo sapiens (Human)	426
ATF6	P18850	ATF6A_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha]	ATF6	Homo sapiens (Human)	670
OLFML2B	Q68BL8	OLM2B_HUMAN	reviewed	Olfactomedin-like protein 2B (Photomedin-2)	OLFML2B	Homo sapiens (Human)	750
NOS1AP	O75052	CAPON_HUMAN	reviewed	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein (C-terminal PDZ ligand of neuronal nitric oxide synthase protein) (Nitric oxide synthase 1 adaptor protein)	NOS1AP CAPON KIAA0464	Homo sapiens (Human)	506
SPATA46	Q5T0L3	SPT46_HUMAN	reviewed	Spermatogenesis-associated protein 46	SPATA46 C1orf111 HSD20	Homo sapiens (Human)	261
SH2D1B	O14796	SH21B_HUMAN	reviewed	SH2 domain-containing protein 1B (EWS/FLI1-activated transcript 2) (EAT-2)	SH2D1B EAT2	Homo sapiens (Human)	132
NUF2	Q9BZD4	NUF2_HUMAN	reviewed	Kinetochore protein Nuf2 (hNuf2) (hNuf2R) (hsNuf2) (Cell division cycle-associated protein 1)	NUF2 CDCA1 NUF2R	Homo sapiens (Human)	464
PBX1	P40424	PBX1_HUMAN	reviewed	Pre-B-cell leukemia transcription factor 1 (Homeobox protein PBX1) (Homeobox protein PRL)	PBX1 PRL	Homo sapiens (Human)	430
LMX1A	Q8TE12	LMX1A_HUMAN	reviewed	LIM homeobox transcription factor 1-alpha (LIM/homeobox protein 1.1) (LMX-1.1) (LIM/homeobox protein LMX1A)	LMX1A	Homo sapiens (Human)	382
RXRG	P48443	RXRG_HUMAN	reviewed	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	RXRG NR2B3	Homo sapiens (Human)	463
ALDH9A1	P49189	AL9A1_HUMAN	reviewed	4-trimethylaminobutyraldehyde dehydrogenase (TMABA-DH) (TMABALDH) (EC 1.2.1.47) (Aldehyde dehydrogenase E3 isozyme) (Aldehyde dehydrogenase family 9 member A1) (EC 1.2.1.3) (Gamma-aminobutyraldehyde dehydrogenase) (EC 1.2.1.19) (R-aminobutyraldehyde dehydrogenase) [Cleaved into: 4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed]	ALDH9A1 ALDH4 ALDH7 ALDH9	Homo sapiens (Human)	494
FAM78B	Q5VT40	FA78B_HUMAN	reviewed	Protein FAM78B	FAM78B	Homo sapiens (Human)	261
POGK	Q9P215	POGK_HUMAN	reviewed	Pogo transposable element with KRAB domain	POGK KIAA1513 LST003 SLTP003	Homo sapiens (Human)	609
MAEL	Q96JY0	MAEL_HUMAN	reviewed	Protein maelstrom homolog	MAEL	Homo sapiens (Human)	434
DUSP27	Q5VZP5	DUS27_HUMAN	reviewed	Inactive dual specificity phosphatase 27	DUSP27	Homo sapiens (Human)	1158
DUSP27	Q68J44	DUPD1_HUMAN	reviewed	Dual specificity phosphatase DUPD1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase 27)	DUPD1 DUSP27	Homo sapiens (Human)	220
ADCY10	Q96PN6	ADCYA_HUMAN	reviewed	Adenylate cyclase type 10 (EC 4.6.1.1) (AH-related protein) (Adenylate cyclase homolog) (Germ cell soluble adenylyl cyclase) (hsAC) (sAC) (Testicular soluble adenylyl cyclase)	ADCY10 SAC	Homo sapiens (Human)	1610
MPC2	O95563	MPC2_HUMAN	reviewed	Mitochondrial pyruvate carrier 2 (Brain protein 44)	MPC2 BRP44	Homo sapiens (Human)	127
DCAF6	Q58WW2	DCAF6_HUMAN	reviewed	DDB1- and CUL4-associated factor 6 (Androgen receptor complex-associated protein) (ARCAP) (IQ motif and WD repeat-containing protein 1) (Nuclear receptor interaction protein) (NRIP)	DCAF6 IQWD1 MSTP055	Homo sapiens (Human)	860
ANKRD36BP1	Q96IX9	A26L1_HUMAN	reviewed	Putative ankyrin repeat domain-containing protein 26-like 1 (Ankyrin repeat domain-containing protein 36B pseudogene 1)	ANKRD36BP1 ANKRD26L1	Homo sapiens (Human)	119
F5	P12259	FA5_HUMAN	reviewed	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5	Homo sapiens (Human)	2224
SELP	P16109	LYAM3_HUMAN	reviewed	P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P)	SELP GMRP GRMP	Homo sapiens (Human)	830
SELP	P49908	SEPP1_HUMAN	reviewed	Selenoprotein P (SeP)	SELENOP SELP SEPP1	Homo sapiens (Human)	381
SELL	P14151	LYAM1_HUMAN	reviewed	L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L)	SELL LNHR LYAM1	Homo sapiens (Human)	372
SELE	P16581	LYAM2_HUMAN	reviewed	E-selectin (CD62 antigen-like family member E) (Endothelial leukocyte adhesion molecule 1) (ELAM-1) (Leukocyte-endothelial cell adhesion molecule 2) (LECAM2) (CD antigen CD62E)	SELE ELAM1	Homo sapiens (Human)	610
C1orf112	Q9NSG2	CA112_HUMAN	reviewed	Uncharacterized protein C1orf112	C1orf112	Homo sapiens (Human)	853
SCYL3	Q8IZE3	PACE1_HUMAN	reviewed	Protein-associating with the carboxyl-terminal domain of ezrin (Ezrin-binding protein PACE-1) (SCY1-like protein 3)	SCYL3 PACE1	Homo sapiens (Human)	742
KIFAP3	Q92845	KIFA3_HUMAN	reviewed	Kinesin-associated protein 3 (KAP-3) (KAP3) (Smg GDS-associated protein)	KIFAP3 KIF3AP SMAP	Homo sapiens (Human)	792
GORAB	Q5T7V8	GORAB_HUMAN	reviewed	RAB6-interacting golgin (N-terminal kinase-like-binding protein 1) (NTKL-BP1) (NTKL-binding protein 1) (hNTKL-BP1) (SCY1-like 1-binding protein 1) (SCYL1-BP1) (SCYL1-binding protein 1)	GORAB NTKLBP1 SCYL1BP1	Homo sapiens (Human)	394
MROH9	Q5TGP6	MROH9_HUMAN	reviewed	Maestro heat-like repeat-containing protein family member 9	MROH9 C1orf129	Homo sapiens (Human)	573
FMO3	P31513	FMO3_HUMAN	reviewed	Dimethylaniline monooxygenase [N-oxide-forming] 3 (EC 1.14.13.8) (EC 1.14.14.73) (Dimethylaniline oxidase 3) (FMO II) (FMO form 2) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase) (EC 1.14.13.148)	FMO3	Homo sapiens (Human)	532
FMO6P	O60774	FMO6_HUMAN	reviewed	Putative dimethylaniline monooxygenase [N-oxide-forming] 6 (EC 1.14.13.8) (Dimethylaniline oxidase 6) (Flavin-containing monooxygenase 6) (FMO 6)	FMO6P FMO6	Homo sapiens (Human)	539
FMO2	P31512	FMO4_HUMAN	reviewed	Dimethylaniline monooxygenase [N-oxide-forming] 4 (EC 1.14.13.8) (Dimethylaniline oxidase 4) (Hepatic flavin-containing monooxygenase 4) (FMO 4)	FMO4 FMO2	Homo sapiens (Human)	558
FMO2	Q99518	FMO2_HUMAN	reviewed	Dimethylaniline monooxygenase [N-oxide-forming] 2 (EC 1.14.13.8) (Dimethylaniline oxidase 2) (FMO 1B1) (Pulmonary flavin-containing monooxygenase 2) (FMO 2)	FMO2	Homo sapiens (Human)	535
FMO1	Q01740	FMO1_HUMAN	reviewed	Dimethylaniline monooxygenase [N-oxide-forming] 1 (EC 1.14.13.8) (Dimethylaniline oxidase 1) (Fetal hepatic flavin-containing monooxygenase 1) (FMO 1)	FMO1	Homo sapiens (Human)	532
PRRC2C	Q9Y520	PRC2C_HUMAN	reviewed	Protein PRRC2C (BAT2 domain-containing protein 1) (HBV X-transactivated gene 2 protein) (HBV XAg-transactivated protein 2) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)	PRRC2C BAT2D1 BAT2L2 KIAA1096 XTP2	Homo sapiens (Human)	2896
MYOC	Q99972	MYOC_HUMAN	reviewed	Myocilin (Myocilin 55 kDa subunit) (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]	MYOC GLC1A TIGR	Homo sapiens (Human)	504
METTL13	Q8N6R0	EFNMT_HUMAN	reviewed	eEF1A lysine and N-terminal methyltransferase (eEF1A-KNMT) (Methyltransferase-like protein 13) [Includes: eEF1A lysine methyltransferase (EC 2.1.1.-); eEF1A N-terminal methyltransferase (EC 2.1.1.-)]	EEF1AKNMT KIAA0859 METTL13 CGI-01	Homo sapiens (Human)	699
DNM3	Q9UQ16	DYN3_HUMAN	reviewed	Dynamin-3 (EC 3.6.5.5) (Dynamin, testicular) (T-dynamin)	DNM3 KIAA0820	Homo sapiens (Human)	869
C1orf105	O95561	CA105_HUMAN	reviewed	Uncharacterized protein C1orf105	C1orf105	Homo sapiens (Human)	183
SUCO	Q9UBS9	SUCO_HUMAN	reviewed	SUN domain-containing ossification factor (Membrane protein CH1) (Protein osteopotentia homolog) (SUN-like protein 1)	SUCO C1orf9 CH1 OPT SLP1	Homo sapiens (Human)	1254
TNFSF18	Q9UNG2	TNF18_HUMAN	reviewed	Tumor necrosis factor ligand superfamily member 18 (Activation-inducible TNF-related ligand) (AITRL) (Glucocorticoid-induced TNF-related ligand) (hGITRL)	TNFSF18 AITRL GITRL TL6 UNQ149/PRO175	Homo sapiens (Human)	199
